"Radar_range","Avg_Amplitude","Time"
0,0,"T0"
0.006410256410256,0,"T0"
0.012820512820513,0,"T0"
0.019230769230769,0,"T0"
0.025641025641026,0,"T0"
0.032051282051282,0,"T0"
0.038461538461539,0,"T0"
0.044871794871795,0,"T0"
0.051282051282051,0,"T0"
0.057692307692308,0,"T0"
0.064102564102564,0,"T0"
0.070512820512821,0,"T0"
0.076923076923077,0,"T0"
0.083333333333333,0,"T0"
0.08974358974359,0,"T0"
0.096153846153846,0,"T0"
0.102564102564103,0,"T0"
0.108974358974359,0,"T0"
0.115384615384615,0,"T0"
0.121794871794872,0,"T0"
0.128205128205128,0,"T0"
0.134615384615385,0,"T0"
0.141025641025641,0,"T0"
0.147435897435897,0,"T0"
0.153846153846154,0,"T0"
0.16025641025641,0,"T0"
0.166666666666667,0,"T0"
0.173076923076923,0,"T0"
0.179487179487179,0,"T0"
0.185897435897436,0,"T0"
0.192307692307692,0,"T0"
0.198717948717949,0,"T0"
0.205128205128205,0,"T0"
0.211538461538462,0,"T0"
0.217948717948718,0,"T0"
0.224358974358974,0,"T0"
0.230769230769231,0,"T0"
0.237179487179487,0,"T0"
0.243589743589744,0,"T0"
0.25,0,"T0"
0.256410256410256,0,"T0"
0.262820512820513,0,"T0"
0.269230769230769,0,"T0"
0.275641025641026,0,"T0"
0.282051282051282,0,"T0"
0.288461538461538,0,"T0"
0.294871794871795,0,"T0"
0.301282051282051,0,"T0"
0.307692307692308,0,"T0"
0.314102564102564,0,"T0"
0.320512820512821,0,"T0"
0.326923076923077,0,"T0"
0.333333333333333,0,"T0"
0.33974358974359,0,"T0"
0.346153846153846,0,"T0"
0.352564102564103,0,"T0"
0.358974358974359,0,"T0"
0.365384615384615,0,"T0"
0.371794871794872,0,"T0"
0.378205128205128,0,"T0"
0.384615384615385,0,"T0"
0.391025641025641,0,"T0"
0.397435897435897,0,"T0"
0.403846153846154,0,"T0"
0.41025641025641,0,"T0"
0.416666666666667,0,"T0"
0.423076923076923,0,"T0"
0.42948717948718,0,"T0"
0.435897435897436,0,"T0"
0.442307692307692,0,"T0"
0.448717948717949,0,"T0"
0.455128205128205,0,"T0"
